Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min
"""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(1.0, 2.0), padding_mode=zeros, spatial_size=(600, 400))""",0.19838188744031332,0.6422018348623854,0.0,0.18926686217008798,0.5645161290322581,0.0,0.22660812788472362,0.7446808510638298,0.0,,,
"""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(1.0, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",0.2265197936350165,0.6363636363636364,0.0,0.37042233560090704,1.0,0.0,0.2602589215355173,0.7446808510638298,0.0,,,
"""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(2.5, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",0.20279116425676688,0.5113636363636364,0.0,0.14946843471935273,0.3488372093023256,0.0,0.37765247062385726,0.9574468085106383,0.0,,,
"""MT.Rand2DElastic(prob=0.5, spacing=(45, 45), magnitude_range=(1.0, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",0.23956043956043954,0.7692307692307692,0.0,0.41821273964131106,1.0,0.0,0.25285151412810986,0.7446808510638298,0.0,,,
"CT.RandomElasticTransform(p=0.5, alpha=(20.0, 5.0), sigma=(4.0, 5.0))",0.221948006712897,0.7,0.0,0.3692276811907482,1.0,0.0,0.265973207249803,0.7446808510638298,0.0,,,
"CT.RandomElasticTransform(p=0.5, alpha=(5.0, 10.0), sigma=(3.0, 5.0))",0.16854884246188592,0.5072463768115941,0.0,0.20073260073260074,0.38461538461538464,0.0,0.19803669931329507,0.7446808510638298,0.0,,,
"CT.RandomElasticTransform(p=0.5, alpha=(5.0, 20.0), sigma=(3.0, 5.0))",0.21923140359557972,0.6666666666666665,0.0,0.27657200811359023,0.75,0.0,0.22258696386355958,0.7446808510638298,0.0,,,
"CT.RandomElasticTransform(p=0.5, alpha=(5.0, 40.0), sigma=(4.0, 5.0))",0.24965859212664068,0.6796116504854368,0.04020100502512563,0.3351604278074866,0.6666666666666666,0.02352941176470588,0.287845128432069,0.7446808510638298,0.07407407407407407,,,
"CT.RandomElasticTransform(p=0.5, alpha=(5.0, 50.0), sigma=(4.0, 5.0))",0.26885691012761337,0.5511811023622046,0.1111111111111111,0.38868048369169445,1.0,0.1111111111111111,0.45907665552566507,0.9655172413793104,0.07407407407407407,,,
None,0.23556860902255639,0.7157894736842105,0.0,0.4234693296915898,1.0,0.0,0.23716762355060225,0.723404255319149,0.0,,,
